Customer Name,Created Date,Rating,Comment,Outlet Name,Restaurant ID
,03-Dec-25,2,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,4,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,4,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,3,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,4,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,2,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,1,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,3,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,3,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,1,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,2,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,1,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,1,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,3,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,4,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,4,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,2,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,2,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,4,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,4,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,4,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,5,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,3,,Coffee Island - Amanora Mall,1199858
,03-Dec-25,2,,Coffee Island - Amanora Mall,1199858
